Name,Email,Group.Lab.Center,Permissions,Password
g,gg@ed.ac.uk,Wind,General_Staff,g
d,dd@gmail.com,Wind,Data_Administrator,d
p,pp@ed.ac.uk,Dog,Project_Supervisor ,p
Debby,debby@ed.ac.uk,Bird,General_Staff,dd
Emma,emma@ed.ac.uk,Bird,Data_Administrator,ee
a,aa@ed.ac.uk,Wind,System_Maintenance,a
Bobby,bb@gmail.com,Hill,Project_Supervisor ,bb
xmy,123@qq.com,Hill,System_Maintenance,xmy
zz,zz@ed.ac.uk,Bird,Data_Administrator,zz
Lucy,lucy@ed.ac.uk,Wind,Project_Supervisor,ll
Kate,kk@ed.ac.uk,Hill,General_Staff,kk
David,David@ed.ac.uk,Bird,Data_Administrator,dd
